common_name,dominant_season_days,dominant_season_years,dominant_season_records,total_observed_days,total_records,dominance_ratio,classification_confidence,primary_season,secondary_season,primary_season_days,secondary_season_days,secondary_to_primary_ratio,is_multi_season,dominant_season,seasonal_category
Cuculus sp.,17,6,24,38,58,0.4473684210526316,Low,Autumn,Summer,17,14,0.8235294117647058,True,Autumn + Summer,秋候鸟 + 夏候鸟
thrush sp.,48,3,79,108,171,0.4444444444444444,Low,Autumn,Winter,48,31,0.6458333333333334,False,Autumn,秋候鸟
finch sp.,4,2,6,9,13,0.4444444444444444,Low,Autumn,Spring,4,3,0.75,True,Autumn + Spring,秋候鸟 + 春候鸟
Long-eared Owl,92,10,214,211,430,0.43601895734597157,Low,Autumn,Winter,92,62,0.6739130434782609,False,Autumn,秋候鸟
Richard's Pipit,213,11,554,490,1237,0.4346938775510204,Low,Autumn,Spring,213,181,0.8497652582159625,True,Autumn + Spring,秋候鸟 + 春候鸟
Phylloscopus sp.,79,10,99,182,230,0.4340659340659341,Low,Autumn,Spring,79,68,0.8607594936708861,True,Autumn + Spring,秋候鸟 + 春候鸟
Eurasian Goshawk,265,11,773,616,1514,0.4301948051948052,Low,Autumn,Spring,265,219,0.8264150943396227,True,Autumn + Spring,秋候鸟 + 春候鸟
dabbling duck sp.,3,2,3,7,11,0.42857142857142855,Low,Autumn,Spring,3,2,0.6666666666666666,False,Autumn,秋候鸟
cuckoo sp. (Cuculidae sp.),17,6,19,40,51,0.425,Low,Autumn,Summer,17,14,0.8235294117647058,True,Autumn + Summer,秋候鸟 + 夏候鸟
Merlin,62,11,116,149,270,0.4161073825503356,Low,Autumn,Spring,62,53,0.8548387096774194,True,Autumn + Spring,秋候鸟 + 春候鸟
Dusky/Naumann's Thrush,157,11,298,386,633,0.4067357512953368,Low,Autumn,Winter,157,140,0.89171974522293,True,Autumn + Winter,秋候鸟 + 冬候鸟
Hen Harrier,357,11,1060,886,2231,0.40293453724604966,Low,Autumn,Spring,357,279,0.7815126050420168,True,Autumn + Spring,秋候鸟 + 春候鸟
rail/crake sp.,2,2,7,5,12,0.4,Low,Autumn,Spring,2,2,1.0,True,Autumn + Spring,秋候鸟 + 春候鸟
Gray-backed Thrush,42,8,76,109,165,0.3853211009174312,Low,Autumn,Winter,42,39,0.9285714285714286,True,Autumn + Winter,秋候鸟 + 冬候鸟
Southern Nutcracker,53,8,119,143,263,0.3706293706293706,Low,Autumn,Summer,53,40,0.7547169811320755,True,Autumn + Summer,秋候鸟 + 夏候鸟
Black-winged Kite,203,9,471,554,1176,0.3664259927797834,Low,Autumn,Spring,203,152,0.7487684729064039,False,Autumn,秋候鸟
Long-tailed Shrike,356,11,776,998,2018,0.35671342685370744,Low,Autumn,Winter,356,299,0.8398876404494382,True,Autumn + Winter,秋候鸟 + 冬候鸟
Reed Bunting,90,11,151,253,375,0.3557312252964427,Low,Autumn,Spring,90,83,0.9222222222222223,True,Autumn + Spring,秋候鸟 + 春候鸟
Eurasian Jay,82,11,145,231,414,0.354978354978355,Low,Autumn,Winter,82,56,0.6829268292682927,False,Autumn,秋候鸟
falcon sp.,25,4,40,72,109,0.3472222222222222,Low,Autumn,Spring,25,21,0.84,True,Autumn + Spring,秋候鸟 + 春候鸟
Red Crossbill,50,8,94,105,198,0.47619047619047616,Low,Winter,Autumn,50,39,0.78,True,Winter + Autumn,冬候鸟 + 秋候鸟
Pine Bunting,194,12,362,416,825,0.46634615384615385,Low,Winter,Autumn,194,180,0.9278350515463918,True,Winter + Autumn,冬候鸟 + 秋候鸟
rosefinch sp.,5,4,11,11,22,0.45454545454545453,Low,Winter,Autumn,5,4,0.8,True,Winter + Autumn,冬候鸟 + 秋候鸟
Turdus sp.,36,5,55,80,128,0.45,Low,Winter,Autumn,36,28,0.7777777777777778,True,Winter + Autumn,冬候鸟 + 秋候鸟
Eurasian Siskin,211,10,429,503,1019,0.4194831013916501,Low,Winter,Autumn,211,164,0.7772511848341233,True,Winter + Autumn,冬候鸟 + 秋候鸟
Short-eared Owl,88,11,152,213,390,0.4131455399061033,Low,Winter,Autumn,88,68,0.7727272727272727,True,Winter + Autumn,冬候鸟 + 秋候鸟
Common Crane,161,12,316,415,871,0.38795180722891565,Low,Winter,Autumn,161,147,0.9130434782608695,True,Winter + Autumn,冬候鸟 + 秋候鸟
Baikal Teal,209,12,447,544,1251,0.38419117647058826,Low,Winter,Autumn,209,187,0.8947368421052632,True,Winter + Autumn,冬候鸟 + 秋候鸟
