common_name,dominant_season_days,dominant_season_years,dominant_season_records,total_observed_days,total_records,dominance_ratio,classification_confidence,primary_season,secondary_season,primary_season_days,secondary_season_days,secondary_to_primary_ratio,is_multi_season,dominant_season,seasonal_category
Yellowhammer,19,5,63,22,68,0.8636363636363636,High,Winter,Autumn,19,3,0.15789473684210525,False,Winter,冬候鸟
Redwing,60,8,159,70,178,0.8571428571428571,High,Winter,Spring,60,5,0.08333333333333333,False,Winter,冬候鸟
Eurasian Bullfinch,52,6,113,63,127,0.8253968253968254,High,Winter,Spring,52,11,0.21153846153846154,False,Winter,冬候鸟
White-crowned Penduline-Tit,25,3,63,31,74,0.8064516129032258,High,Winter,Spring,25,6,0.24,False,Winter,冬候鸟
Rough-legged Hawk,78,12,175,97,214,0.8041237113402062,High,Winter,Spring,78,11,0.14102564102564102,False,Winter,冬候鸟
Solitary Snipe,44,7,122,55,161,0.8,High,Winter,Spring,44,8,0.18181818181818182,False,Winter,冬候鸟
Rufous-backed Bunting,40,5,65,50,91,0.8,High,Winter,Spring,40,10,0.25,False,Winter,冬候鸟
Red-breasted Flycatcher,71,5,192,93,230,0.7634408602150538,High,Winter,Spring,71,12,0.16901408450704225,False,Winter,冬候鸟
Brown-eared Bulbul,39,9,47,52,63,0.75,High,Winter,Autumn,39,11,0.28205128205128205,False,Winter,冬候鸟
Masked Laughingthrush,6,3,9,8,11,0.75,High,Winter,Spring,6,2,0.3333333333333333,False,Winter,冬候鸟
Fieldfare,35,5,91,48,119,0.7291666666666666,High,Winter,Spring,35,7,0.2,False,Winter,冬候鸟
Horned Lark,47,7,105,66,142,0.7121212121212122,High,Winter,Autumn,47,18,0.3829787234042553,False,Winter,冬候鸟
Black-throated x Red-throated Thrush (hybrid),39,7,60,55,83,0.7090909090909091,High,Winter,Spring,39,8,0.20512820512820512,False,Winter,冬候鸟
Cinereous Vulture,185,12,468,261,689,0.7088122605363985,High,Winter,Autumn,185,41,0.22162162162162163,False,Winter,冬候鸟
Asian Rosy-Finch,20,9,51,29,75,0.6896551724137931,Medium,Winter,Autumn,20,8,0.4,False,Winter,冬候鸟
White-tailed Eagle,231,12,440,338,702,0.6834319526627219,Medium,Winter,Spring,231,72,0.3116883116883117,False,Winter,冬候鸟
Common Chaffinch,88,12,160,129,215,0.6821705426356589,Medium,Winter,Autumn,88,21,0.23863636363636365,False,Winter,冬候鸟
Pale Thrush,32,8,44,48,72,0.6666666666666666,Medium,Winter,Spring,32,9,0.28125,False,Winter,冬候鸟
Red-billed Leiothrix,16,4,17,24,26,0.6666666666666666,Medium,Winter,Spring,16,5,0.3125,False,Winter,冬候鸟
Pallas's Rosefinch,193,12,426,290,688,0.6655172413793103,Medium,Winter,Autumn,193,85,0.44041450777202074,False,Winter,冬候鸟
Collared Finchbill,51,9,69,77,97,0.6623376623376623,Medium,Winter,Autumn,51,11,0.21568627450980393,False,Winter,冬候鸟
Upland Buzzard,334,12,909,506,1313,0.6600790513833992,Medium,Winter,Spring,334,101,0.3023952095808383,False,Winter,冬候鸟
Brown Dipper,92,12,197,140,301,0.6571428571428571,Medium,Winter,Spring,92,27,0.29347826086956524,False,Winter,冬候鸟
Hooded Crane,26,7,56,40,76,0.65,Medium,Winter,Autumn,26,9,0.34615384615384615,False,Winter,冬候鸟
Eurasian Treecreeper,34,5,77,54,119,0.6296296296296297,Medium,Winter,Autumn,34,16,0.47058823529411764,False,Winter,冬候鸟
Bearded Vulture,5,3,11,8,16,0.625,Medium,Winter,Spring,5,3,0.6,False,Winter,冬候鸟
