common_name,dominant_season_days,dominant_season_years,dominant_season_records,total_observed_days,total_records,dominance_ratio,classification_confidence,primary_season,secondary_season,primary_season_days,secondary_season_days,secondary_to_primary_ratio,is_multi_season,dominant_season,seasonal_category
Short-toed Snake-Eagle,84,11,152,152,319,0.5526315789473685,Medium,Spring,Autumn,84,54,0.6428571428571429,False,Spring,春候鸟
Common Gull,87,10,164,158,298,0.5506329113924051,Medium,Spring,Autumn,87,50,0.5747126436781609,False,Spring,春候鸟
Ashy Minivet,52,10,78,95,137,0.5473684210526316,Medium,Spring,Autumn,52,42,0.8076923076923077,True,Spring + Autumn,春候鸟 + 秋候鸟
Bank Swallow,90,12,200,167,327,0.5389221556886228,Medium,Spring,Summer,90,61,0.6777777777777778,False,Spring,春候鸟
Crested Goshawk,14,6,25,26,40,0.5384615384615384,Medium,Spring,Autumn,14,10,0.7142857142857143,False,Spring,春候鸟
European Starling,93,12,197,173,331,0.5375722543352601,Medium,Spring,Autumn,93,76,0.8172043010752689,True,Spring + Autumn,春候鸟 + 秋候鸟
hawk sp.,25,6,37,47,69,0.5319148936170213,Medium,Spring,Autumn,25,14,0.56,False,Spring,春候鸟
Long-toed Stint,69,10,131,130,258,0.5307692307692308,Medium,Spring,Summer,69,44,0.6376811594202898,False,Spring,春候鸟
Little Curlew,9,4,10,17,27,0.5294117647058824,Medium,Spring,Autumn,9,4,0.4444444444444444,False,Spring,春候鸟
Common Tern,324,12,1239,615,1904,0.526829268292683,Medium,Spring,Summer,324,260,0.8024691358024691,True,Spring + Summer,春候鸟 + 夏候鸟
Ferruginous Duck x Baer's Pochard (hybrid),24,5,34,46,61,0.5217391304347826,Medium,Spring,Winter,24,12,0.5,False,Spring,春候鸟
Black Kite,304,12,925,583,1809,0.5214408233276158,Medium,Spring,Autumn,304,244,0.8026315789473685,True,Spring + Autumn,春候鸟 + 秋候鸟
Radde's Warbler,220,12,914,424,1460,0.5188679245283019,Medium,Spring,Autumn,220,182,0.8272727272727273,True,Spring + Autumn,春候鸟 + 秋候鸟
Eyebrowed Thrush,86,11,197,166,341,0.5180722891566265,Medium,Spring,Autumn,86,78,0.9069767441860465,True,Spring + Autumn,春候鸟 + 秋候鸟
Common Sandpiper,280,12,809,541,1221,0.5175600739371534,Medium,Spring,Summer,280,139,0.49642857142857144,False,Spring,春候鸟
diurnal raptor sp.,30,7,43,58,83,0.5172413793103449,Medium,Spring,Autumn,30,13,0.43333333333333335,False,Spring,春候鸟
Swinhoe's/Pin-tailed Snipe,80,8,134,156,270,0.5128205128205128,Medium,Spring,Summer,80,43,0.5375,False,Spring,春候鸟
Common Snipe,378,12,1053,756,1804,0.5,Medium,Spring,Autumn,378,219,0.5793650793650794,False,Spring,春候鸟
Taiga/Tundra Bean-Goose,93,10,170,186,298,0.5,Medium,Spring,Autumn,93,54,0.5806451612903226,False,Spring,春候鸟
Pin-tailed Snipe,13,5,20,26,43,0.5,Medium,Spring,Autumn,13,8,0.6153846153846154,False,Spring,春候鸟
Brown Eared-Pheasant,10,4,24,20,39,0.5,Medium,Spring,Summer,10,7,0.7,False,Spring,春候鸟
Whiskered Tern,146,11,352,293,610,0.49829351535836175,Low,Spring,Summer,146,132,0.9041095890410958,True,Spring + Summer,春候鸟 + 夏候鸟
Black-headed Gull,493,12,1746,990,3037,0.49797979797979797,Low,Spring,Autumn,493,333,0.6754563894523327,False,Spring,春候鸟
Relict Gull,81,11,184,163,384,0.49693251533742333,Low,Spring,Summer,81,50,0.6172839506172839,False,Spring,春候鸟
Eastern Yellow Wagtail,274,12,1129,554,1889,0.49458483754512633,Low,Spring,Autumn,274,194,0.708029197080292,False,Spring,春候鸟
Northern Pintail,312,12,1104,631,1730,0.49445324881141045,Low,Spring,Winter,312,174,0.5576923076923077,False,Spring,春候鸟
White-throated Rock-Thrush,39,9,76,79,155,0.4936708860759494,Low,Spring,Summer,39,27,0.6923076923076923,False,Spring,春候鸟
Vega/Mongolian Gull,281,11,769,571,1271,0.4921190893169877,Low,Spring,Autumn,281,154,0.5480427046263345,False,Spring,春候鸟
pipit sp.,25,6,35,51,68,0.49019607843137253,Low,Spring,Autumn,25,16,0.64,False,Spring,春候鸟
Eastern Crowned Warbler,163,12,432,333,840,0.4894894894894895,Low,Spring,Summer,163,151,0.9263803680981595,True,Spring + Summer,春候鸟 + 夏候鸟
Mongolian Gull,330,12,1255,678,1971,0.48672566371681414,Low,Spring,Autumn,330,181,0.5484848484848485,False,Spring,春候鸟
Terek Sandpiper,16,5,31,33,67,0.48484848484848486,Low,Spring,Summer,16,13,0.8125,True,Spring + Summer,春候鸟 + 夏候鸟
White-throated Needletail,27,9,47,56,93,0.48214285714285715,Low,Spring,Autumn,27,19,0.7037037037037037,False,Spring,春候鸟
Wood Sandpiper,187,11,509,390,954,0.4794871794871795,Low,Spring,Summer,187,137,0.732620320855615,False,Spring,春候鸟
Black-bellied Plover,11,5,20,23,44,0.4782608695652174,Low,Spring,Autumn,11,9,0.8181818181818182,True,Spring + Autumn,春候鸟 + 秋候鸟
Eastern Marsh Harrier,330,12,1085,692,2157,0.476878612716763,Low,Spring,Autumn,330,267,0.8090909090909091,True,Spring + Autumn,春候鸟 + 秋候鸟
Anser sp.,8,3,15,17,26,0.47058823529411764,Low,Spring,Winter,8,5,0.625,False,Spring,春候鸟
Dendrocopos sp.,8,3,9,17,20,0.47058823529411764,Low,Spring,Autumn,8,6,0.75,True,Spring + Autumn,春候鸟 + 秋候鸟
Asian Short-toed Lark,89,12,150,190,323,0.46842105263157896,Low,Spring,Autumn,89,68,0.7640449438202247,True,Spring + Autumn,春候鸟 + 秋候鸟
Graylag Goose,309,12,922,662,1564,0.46676737160120846,Low,Spring,Autumn,309,167,0.540453074433657,False,Spring,春候鸟
Pied Harrier,168,12,376,361,870,0.46537396121883656,Low,Spring,Autumn,168,158,0.9404761904761905,True,Spring + Autumn,春候鸟 + 秋候鸟
Baikal Bush Warbler,65,11,147,140,292,0.4642857142857143,Low,Spring,Summer,65,53,0.8153846153846154,True,Spring + Summer,春候鸟 + 夏候鸟
Rook,206,12,535,444,1061,0.46396396396396394,Low,Spring,Autumn,206,163,0.7912621359223301,True,Spring + Autumn,春候鸟 + 秋候鸟
Baillon's Crake,49,12,80,106,240,0.46226415094339623,Low,Spring,Autumn,49,49,1.0,True,Spring + Autumn,春候鸟 + 秋候鸟
Eurasian Wigeon,282,12,768,611,1471,0.46153846153846156,Low,Spring,Autumn,282,184,0.6524822695035462,False,Spring,春候鸟
Red Collared-Dove,6,4,6,13,13,0.46153846153846156,Low,Spring,Summer,6,5,0.8333333333333334,True,Spring + Summer,春候鸟 + 夏候鸟
Gray Nightjar,52,11,84,113,175,0.46017699115044247,Low,Spring,Summer,52,49,0.9423076923076923,True,Spring + Summer,春候鸟 + 夏候鸟
Asian Brown Flycatcher,155,11,552,337,929,0.4599406528189911,Low,Spring,Autumn,155,95,0.6129032258064516,False,Spring,春候鸟
Tundra Bean-Goose,205,12,583,448,1093,0.4575892857142857,Low,Spring,Winter,205,150,0.7317073170731707,False,Spring,春候鸟
Common Pochard x Ferruginous Duck (hybrid),5,1,8,11,14,0.45454545454545453,Low,Spring,Autumn,5,4,0.8,True,Spring + Autumn,春候鸟 + 秋候鸟
Chestnut-eared Bunting,98,12,199,216,428,0.4537037037037037,Low,Spring,Autumn,98,95,0.9693877551020408,True,Spring + Autumn,春候鸟 + 秋候鸟
goose sp.,9,3,13,20,24,0.45,Low,Spring,Autumn,9,7,0.7777777777777778,True,Spring + Autumn,春候鸟 + 秋候鸟
Arctic Warbler,179,12,813,398,1282,0.44974874371859297,Low,Spring,Autumn,179,121,0.6759776536312849,False,Spring,春候鸟
Eurasian Crag-Martin,75,12,134,168,264,0.44642857142857145,Low,Spring,Summer,75,57,0.76,True,Spring + Summer,春候鸟 + 夏候鸟
white egret sp.,4,3,4,9,12,0.4444444444444444,Low,Spring,Autumn,4,3,0.75,True,Spring + Autumn,春候鸟 + 秋候鸟
Black-tailed Godwit,68,11,137,154,353,0.44155844155844154,Low,Spring,Autumn,68,57,0.8382352941176471,True,Spring + Autumn,春候鸟 + 秋候鸟
Blyth's Pipit,56,9,88,127,242,0.4409448818897638,Low,Spring,Autumn,56,52,0.9285714285714286,True,Spring + Autumn,春候鸟 + 秋候鸟
Pallas's Leaf Warbler,659,12,3833,1501,6899,0.4390406395736176,Low,Spring,Autumn,659,585,0.8877086494688923,True,Spring + Autumn,春候鸟 + 秋候鸟
Pallas's Gull,38,10,72,87,186,0.4367816091954023,Low,Spring,Autumn,38,28,0.7368421052631579,False,Spring,春候鸟
Falcated Duck,477,12,1910,1094,3407,0.4360146252285192,Low,Spring,Winter,477,383,0.8029350104821803,True,Spring + Winter,春候鸟 + 冬候鸟
Greater Scaup,47,7,117,108,238,0.4351851851851852,Low,Spring,Autumn,47,47,1.0,True,Spring + Autumn,春候鸟 + 秋候鸟
Long-tailed Minivet,115,11,238,266,517,0.4323308270676692,Low,Spring,Summer,115,94,0.8173913043478261,True,Spring + Summer,春候鸟 + 夏候鸟
Purple Heron,218,12,523,507,1218,0.42998027613412226,Low,Spring,Summer,218,161,0.7385321100917431,False,Spring,春候鸟
muscicapid sp.,3,2,4,7,9,0.42857142857142855,Low,Spring,Summer,3,2,0.6666666666666666,False,Spring,春候鸟
Baer's Pochard,140,11,250,327,600,0.42813455657492355,Low,Spring,Autumn,140,92,0.6571428571428571,False,Spring,春候鸟
Siberian Blue Robin,153,11,663,361,1150,0.42382271468144045,Low,Spring,Summer,153,127,0.8300653594771242,True,Spring + Summer,春候鸟 + 夏候鸟
parid sp.,8,2,10,19,29,0.42105263157894735,Low,Spring,Autumn,8,5,0.625,False,Spring,春候鸟
Chinese Penduline-Tit,278,12,580,662,1368,0.4199395770392749,Low,Spring,Autumn,278,181,0.6510791366906474,False,Spring,春候鸟
Ochre-rumped Bunting,145,11,223,348,583,0.4166666666666667,Low,Spring,Winter,145,107,0.7379310344827587,False,Spring,春候鸟
pigeon/dove sp.,15,3,17,36,42,0.4166666666666667,Low,Spring,Summer,15,9,0.6,False,Spring,春候鸟
Bar-headed Goose,138,10,221,334,534,0.41317365269461076,Low,Spring,Autumn,138,110,0.7971014492753623,True,Spring + Autumn,春候鸟 + 秋候鸟
Ferruginous Duck,323,12,833,785,1799,0.41146496815286626,Low,Spring,Autumn,323,205,0.6346749226006192,False,Spring,春候鸟
duck sp.,16,5,26,39,55,0.41025641025641024,Low,Spring,Autumn,16,12,0.75,True,Spring + Autumn,春候鸟 + 秋候鸟
Black-faced Bunting,409,12,1240,997,2624,0.4102306920762287,Low,Spring,Autumn,409,348,0.8508557457212714,True,Spring + Autumn,春候鸟 + 秋候鸟
Two-barred Warbler,178,12,761,438,1419,0.4063926940639269,Low,Spring,Autumn,178,157,0.8820224719101124,True,Spring + Autumn,春候鸟 + 秋候鸟
snipe sp.,51,11,76,126,193,0.40476190476190477,Low,Spring,Autumn,51,48,0.9411764705882353,True,Spring + Autumn,春候鸟 + 秋候鸟
Red-crested Pochard,290,12,696,717,1608,0.40446304044630405,Low,Spring,Winter,290,198,0.6827586206896552,False,Spring,春候鸟
Japanese Quail,186,12,327,461,791,0.403470715835141,Low,Spring,Autumn,186,164,0.8817204301075269,True,Spring + Autumn,春候鸟 + 秋候鸟
Daurian Jackdaw,356,12,1099,883,2613,0.4031710079275198,Low,Spring,Autumn,356,320,0.898876404494382,True,Spring + Autumn,春候鸟 + 秋候鸟
Common Greenshank,121,12,280,301,696,0.4019933554817276,Low,Spring,Autumn,121,114,0.9421487603305785,True,Spring + Autumn,春候鸟 + 秋候鸟
crow/raven sp.,16,4,21,40,53,0.4,Low,Spring,Autumn,16,14,0.875,True,Spring + Autumn,春候鸟 + 秋候鸟
Thick-billed Warbler,130,11,431,326,806,0.3987730061349693,Low,Spring,Autumn,130,114,0.8769230769230769,True,Spring + Autumn,春候鸟 + 秋候鸟
