date,year,month,day,season,temperature,extreme_high_temp,extreme_low_temp,prcp,snow,humidity
2017-06-03,2017,6,3,Summer,22.1,0,0,0.0,0.0,42.583333333333336
2017-06-04,2017,6,4,Summer,25.2,1,0,0.0,0.0,38.541666666666664
2017-06-09,2017,6,9,Summer,28.1,1,0,0.0,0.0,36.25
2017-06-10,2017,6,10,Summer,23.4,1,0,0.0,0.0,22.25
2017-06-12,2017,6,12,Summer,22.9,0,0,0.0,0.0,36.083333333333336
2017-06-14,2017,6,14,Summer,28.6,1,0,0.0,0.0,42.958333333333336
2017-06-15,2017,6,15,Summer,31.2,1,0,0.0,0.0,35.833333333333336
2017-06-16,2017,6,16,Summer,31.7,1,0,0.0,0.0,34.083333333333336
2017-06-17,2017,6,17,Summer,30.7,1,0,1.0,0.0,35.083333333333336
2017-06-19,2017,6,19,Summer,28.3,1,0,0.8,0.0,50.958333333333336
2017-06-20,2017,6,20,Summer,28.4,1,0,0.2,0.0,47.708333333333336
2017-06-25,2017,6,25,Summer,24.6,1,0,0.0,0.0,64.70833333333333
2017-06-26,2017,6,26,Summer,28.6,1,0,0.0,0.0,56.208333333333336
2017-06-27,2017,6,27,Summer,28.3,1,0,0.0,0.0,50.666666666666664
2017-06-28,2017,6,28,Summer,28.7,1,0,2.2,0.0,51.958333333333336
2017-06-29,2017,6,29,Summer,29.1,1,0,0.30000000000000004,0.0,54.708333333333336
2017-06-30,2017,6,30,Summer,29.8,1,0,0.3,0.0,48.083333333333336
2017-07-01,2017,7,1,Summer,29.9,1,0,0.30000000000000004,0.0,47.666666666666664
2017-07-02,2017,7,2,Summer,28.5,1,0,2.9000000000000004,0.0,51.916666666666664
2017-07-05,2017,7,5,Summer,28.1,1,0,4.2,0.0,75.79166666666667
2017-07-08,2017,7,8,Summer,27.9,1,0,0.0,0.0,68.04166666666667
2017-07-09,2017,7,9,Summer,29.7,1,0,0.0,0.0,71.41666666666667
2017-07-10,2017,7,10,Summer,29.5,1,0,0.0,0.0,61.916666666666664
2017-07-11,2017,7,11,Summer,29.3,1,0,0.0,0.0,58.833333333333336
2017-07-12,2017,7,12,Summer,31.7,1,0,0.0,0.0,59.0
2017-07-13,2017,7,13,Summer,30.1,1,0,0.0,0.0,62.708333333333336
2017-07-17,2017,7,17,Summer,28.7,1,0,0.0,0.0,77.5
2017-07-19,2017,7,19,Summer,29.1,1,0,0.7000000000000001,0.0,77.45833333333333
2017-07-22,2017,7,22,Summer,25.1,0,0,2.8000000000000003,0.0,80.25
2017-07-23,2017,7,23,Summer,25.7,0,0,3.2,0.0,81.0
2017-07-24,2017,7,24,Summer,26.1,0,0,1.6,0.0,85.70833333333333
2017-07-25,2017,7,25,Summer,26.6,1,0,3.8000000000000003,0.0,76.625
2017-07-28,2017,7,28,Summer,25.9,1,0,0.0,0.0,84.5
2017-07-29,2017,7,29,Summer,24.6,1,0,0.0,0.0,77.33333333333333
2017-07-30,2017,7,30,Summer,26.0,1,0,0.0,0.0,77.20833333333333
2017-07-31,2017,7,31,Summer,27.5,1,0,0.0,0.0,77.91666666666667
2017-08-01,2017,8,1,Autumn,28.2,1,0,1.2000000000000002,0.0,82.66666666666667
2017-08-03,2017,8,3,Autumn,30.6,1,0,3.1,0.0,80.875
2017-08-04,2017,8,4,Autumn,30.4,1,0,0.0,0.0,75.58333333333333
2017-08-06,2017,8,6,Autumn,29.7,1,0,1.1,0.0,79.91666666666667
2017-08-07,2017,8,7,Autumn,29.6,1,0,0.0,0.0,59.708333333333336
2017-08-09,2017,8,9,Autumn,24.9,0,0,3.0,0.0,82.58333333333333
2017-08-10,2017,8,10,Autumn,28.1,1,0,0.0,0.0,78.20833333333333
2017-08-15,2017,8,15,Autumn,27.3,1,0,0.0,0.0,83.0
2017-08-17,2017,8,17,Autumn,26.1,1,0,0.2,0.0,79.25
2017-08-21,2017,8,21,Autumn,29.1,1,0,0.2,0.0,79.79166666666667
2017-08-24,2017,8,24,Autumn,24.9,1,0,0.0,0.0,59.125
2017-08-25,2017,8,25,Autumn,25.1,1,0,0.0,0.0,45.416666666666664
2017-08-26,2017,8,26,Autumn,24.2,0,0,0.0,0.0,49.125
2017-08-29,2017,8,29,Autumn,21.1,0,0,0.0,0.0,60.583333333333336
2017-08-30,2017,8,30,Autumn,23.1,0,0,0.0,0.0,71.125
2017-08-31,2017,8,31,Autumn,22.7,0,0,0.0,0.0,78.91666666666667
2017-09-01,2017,9,1,Autumn,23.3,0,0,0.0,0.0,79.75
2017-09-02,2017,9,2,Autumn,23.2,0,0,0.30000000000000004,0.0,78.125
2017-09-03,2017,9,3,Autumn,23.8,0,0,0.0,0.0,72.66666666666667
2017-09-04,2017,9,4,Autumn,24.1,0,0,0.0,0.0,75.41666666666667
2017-09-05,2017,9,5,Autumn,24.4,1,0,0.2,0.0,68.66666666666667
2017-09-06,2017,9,6,Autumn,23.2,1,0,0.0,0.0,59.291666666666664
2017-09-07,2017,9,7,Autumn,25.2,1,0,0.0,0.0,76.41666666666667
2017-09-08,2017,9,8,Autumn,26.7,1,0,0.0,0.0,82.54166666666667
2017-09-09,2017,9,9,Autumn,25.2,0,0,0.0,0.0,79.95833333333333
2017-09-11,2017,9,11,Autumn,21.1,0,0,0.0,0.0,58.958333333333336
2017-09-12,2017,9,12,Autumn,23.4,1,0,0.0,0.0,62.416666666666664
2017-09-13,2017,9,13,Autumn,24.1,1,0,0.0,0.0,73.25
2017-09-14,2017,9,14,Autumn,24.3,1,0,0.0,0.0,56.125
2017-09-15,2017,9,15,Autumn,21.3,0,0,0.1,0.0,61.375
2017-09-16,2017,9,16,Autumn,21.3,0,0,0.0,0.0,69.83333333333333
2017-09-17,2017,9,17,Autumn,20.4,1,0,0.0,0.0,38.375
2017-09-18,2017,9,18,Autumn,22.1,1,0,0.0,0.0,54.25
2017-09-19,2017,9,19,Autumn,20.8,1,0,0.0,0.0,34.458333333333336
