year,month,year_month,temperature,extreme_high_temp,extreme_low_temp,prcp,snow,humidity
2024,2,2024-02,0.192,0,25,4.2,2.52,46.833333333333336
2024,3,2024-03,8.608333333333333,0,16,5.4,0.35000000000000003,40.836021505376344
2024,4,2024-04,16.92608695652174,0,0,24.0,0.91,48.75
2024,5,2024-05,22.432,13,0,47.0,0.0,47.865591397849464
2024,6,2024-06,27.766666666666666,24,0,20.7,0.0,45.61805555555556
2024,7,2024-07,28.45,15,0,297.1,0.0,71.31586021505376
2024,8,2024-08,27.37777777777778,18,0,282.0,0.0,81.70833333333333
2024,9,2024-09,21.454545454545453,4,0,61.8,0.0,69.61527777777778
2024,10,2024-10,13.457692307692307,0,0,20.7,0.0,68.23521505376344
2024,11,2024-11,8.269565217391303,0,10,16.6,0.07,65.43194444444444
2024,12,2024-12,-0.43333333333333335,0,27,0.2,0.14,38.81586021505376
2025,1,2025-01,-1.2518518518518518,0,27,1.1,0.77,37.51075268817204
2025,2,2025-02,0.04615384615384613,0,26,0.0,0.0,27.769345238095237
2025,3,2025-03,10.435714285714285,0,11,8.2,1.8900000000000001,34.428763440860216
2025,4,2025-04,17.088,4,0,11.2,0.0,36.28055555555556
2025,5,2025-05,21.773684210526316,7,0,79.9,0.0,55.365591397849464
2025,6,2025-06,27.204545454545453,21,0,50.8,0.0,52.95
2025,7,2025-07,28.9,15,0,179.7,0.0,74.26075268817205
2025,8,2025-08,26.79,8,0,268.1,0.0,84.35483870967742
2025,9,2025-09,21.44782608695652,10,0,17.9,0.0,74.71527777777777
2025,10,2025-10,11.73,0,5,96.7,0.0,73.59677419354838
2025,11,2025-11,6.643478260869566,0,13,12.200000000000001,0.0,57.38194444444444
2025,12,2025-12,-1.373076923076923,0,26,3.6,2.52,50.00268817204301
