year,month,tavg,tmin,tmax,prcp,snow,wspd,pres,GDD,extreme_high,extreme_low,rain_day,strong_wind
2019,5,23.004545454545454,12.431818181818182,30.29090909090909,0.0,0.0,10.509090909090908,1008.8090909090909,396.1,13,0,0,10
2019,6,27.13181818181818,20.71818181818182,33.67727272727273,0.0,0.0,10.381818181818183,1004.2318181818181,486.9,22,0,0,10
2019,7,28.889473684210525,22.852631578947367,34.352631578947374,0.0,0.0,8.373684210526315,1003.1473684210526,453.9,18,0,0,2
2019,8,25.83888888888889,19.272222222222222,31.79444444444444,0.0,0.0,9.483333333333333,1007.1777777777778,375.1,17,0,0,6
2019,9,22.968000000000004,16.072,30.48,0.0,0.0,6.9,1015.62,449.2,14,0,0,1
2019,10,13.259090909090908,7.131818181818182,20.60909090909091,0.0,0.0,6.777272727272727,1020.1727272727272,181.7,1,0,0,2
2019,11,5.345454545454545,-0.4954545454545455,10.572727272727272,0.0,0.0,7.1,1025.3772727272726,52.9,0,12,0,3
2019,12,-1.5888888888888888,-6.97037037037037,5.425925925925926,0.0,0.0,9.833333333333334,1027.6148148148147,0.0,0,27,0,12
2020,1,-1.8642857142857143,-7.557142857142857,5.5,0.0,0.0,7.689285714285715,1027.8285714285714,0.0,0,28,0,5
2020,2,2.3125,-3.33125,9.425,0.0,0.0,7.41875,1024.65,2.0,0,14,0,4
2020,3,9.330434782608695,1.565217391304348,17.847826086956523,0.0,0.0,9.891304347826088,1017.7086956521739,108.7,0,11,0,12
2020,4,15.691666666666668,7.304166666666667,24.224999999999998,0.0,0.0,10.391666666666667,1017.6958333333333,256.6,3,0,0,11
2020,5,20.98,14.36,28.689999999999998,0.0,0.0,10.440000000000001,1006.845,319.6,11,0,0,10
2020,6,27.14,20.516,34.496,0.0,0.0,9.716000000000001,1004.02,553.5,24,0,0,13
2020,7,27.104761904761908,21.50952380952381,33.304761904761904,0.0,0.0,7.247619047619047,1005.3333333333334,464.2,18,0,0,0
2020,8,26.29047619047619,21.6,32.142857142857146,0.0,0.0,6.833333333333333,1005.8666666666667,447.1,16,0,0,0
2020,9,21.52173913043478,15.93913043478261,28.652173913043477,0.0,0.0,8.539130434782608,1012.7913043478261,380.0,8,0,0,6
2020,10,12.356666666666666,5.6433333333333335,20.876666666666665,0.0,0.0,8.296666666666667,1021.9300000000001,220.7,0,0,0,10
2020,11,5.192592592592592,-0.24444444444444446,13.244444444444445,0.0,0.0,9.362962962962964,1027.8925925925926,52.6,0,15,0,9
2020,12,-2.7333333333333334,-8.992592592592594,4.84074074074074,0.0,0.0,8.785185185185185,1029.0962962962963,0.0,0,27,0,9
2021,1,-4.2407407407407405,-10.966666666666667,3.3851851851851853,0.0,0.0,9.062962962962963,1025.851851851852,0.0,0,27,0,11
2021,2,1.936,-6.047999999999999,11.164000000000001,0.0,0.0,7.66,1021.824,16.9,0,23,0,6
2021,3,9.5,3.6809523809523808,15.647619047619049,0.0,0.0,8.176190476190476,1019.7380952380952,105.6,0,4,0,3
2021,4,15.046153846153846,7.957692307692308,22.165384615384614,0.0,0.0,10.807692307692308,1018.3538461538462,261.2,0,0,0,15
2021,5,20.523809523809526,12.561904761904762,27.895238095238092,0.0,0.0,11.219047619047618,1007.9333333333333,326.0,6,0,0,13
2021,6,26.366666666666667,18.995238095238093,33.60476190476191,0.0,0.0,10.057142857142857,1003.5761904761904,448.7,17,0,0,8
2021,7,27.642857142857142,23.657142857142855,32.707142857142856,0.0,0.0,7.107142857142857,1004.6999999999999,317.0,14,0,0,0
2021,8,25.823529411764707,20.676470588235293,31.764705882352942,0.0,0.0,7.98235294117647,1006.5823529411765,354.0,14,0,0,3
2021,9,22.42,17.626666666666665,28.89333333333333,0.0,0.0,6.28,1011.36,261.3,5,0,0,1
2021,10,11.692,5.568,19.748,0.0,0.0,7.372000000000001,1024.2839999999999,167.3,0,2,0,3
2021,11,5.7,0.24761904761904763,13.58095238095238,0.0,0.0,7.114285714285715,1021.9619047619047,36.4,0,12,0,5
2021,12,-0.04814814814814814,-6.314814814814815,8.462962962962964,0.0,0.0,8.588888888888889,1026.7,2.0,0,26,0,8
2022,1,-2.759259259259259,-7.992592592592593,4.725925925925925,0.0,0.0,7.82962962962963,1028.8592592592593,0.0,0,27,0,8
2022,2,-1.1884615384615385,-7.773076923076923,6.661538461538461,0.0,0.0,9.88846153846154,1028.4346153846154,4.8999999999999995,0,26,0,10
2022,3,7.524,0.18799999999999997,15.668,0.0,0.0,9.516,1018.692,72.7,0,12,0,9
2022,4,16.122222222222224,8.692592592592593,23.7,0.0,0.0,10.107407407407406,1014.8185185185184,300.3,0,0,0,13
2022,5,21.925,12.935714285714285,30.025000000000002,0.0,0.0,9.9,1008.0035714285714,473.9,17,0,0,12
2022,6,25.835,19.595,32.385000000000005,0.0,0.0,8.665000000000001,1002.905,416.7,14,0,0,3
2022,7,28.68333333333333,22.772222222222222,34.57222222222222,0.0,0.0,7.822222222222223,1002.4277777777778,426.3,17,0,0,2
2022,8,25.757142857142856,20.052380952380954,32.31428571428572,0.0,0.0,8.361904761904762,1007.0571428571429,435.9,17,0,0,4
2022,9,22.232,15.512,30.248,0.0,0.0,6.843999999999999,1013.752,430.8,18,0,0,3
2022,10,11.637037037037036,5.9,19.86296296296296,0.0,0.0,7.525925925925925,1024.6814814814816,179.2,0,1,0,6
2022,11,5.903846153846154,-0.1346153846153846,14.142307692307693,0.0,0.0,7.273076923076923,1022.4923076923077,44.4,0,14,0,4
2022,12,-4.203846153846154,-11.103846153846153,3.5461538461538464,0.0,0.0,8.45,1029.2730769230768,0.0,0,26,0,9
2023,1,-2.9666666666666663,-10.307407407407409,5.466666666666667,0.0,0.0,9.488888888888889,1027.262962962963,0.0,0,27,0,13
2023,2,0.7239999999999999,-6.308,8.7,0.0,0.0,7.82,1028.612,1.5999999999999996,0,25,0,5
2023,3,9.875,1.3107142857142857,18.7,0.0,0.0,9.467857142857143,1018.8392857142857,140.1,0,12,0,8
2023,4,15.308333333333332,8.041666666666666,22.349999999999998,0.0,0.0,10.637500000000001,1013.3041666666667,247.4,0,0,0,11
2023,5,21.886956521739133,15.134782608695653,28.97826086956522,0.0,0.0,9.460869565217392,1010.4260869565217,388.40000000000003,8,0,0,4
2023,6,28.61923076923077,20.21153846153846,36.62692307692308,0.0,0.0,9.923076923076923,1004.0115384615384,614.1,26,0,0,12
2023,7,30.42777777777778,23.188888888888886,37.65555555555555,0.0,0.0,9.366666666666667,1001.7833333333333,457.7,18,0,0,5
2023,8,27.380000000000003,23.375,33.045,0.0,0.0,7.334999999999999,1005.805,447.6,16,0,0,0
2023,9,22.14074074074074,16.925925925925927,28.644444444444442,0.0,0.0,6.933333333333333,1013.8222222222222,462.8,11,0,0,2
2023,10,14.822222222222221,7.944444444444445,23.696296296296296,0.0,0.0,6.962962962962963,1018.9888888888889,265.2,0,0,0,2
2023,11,4.1000000000000005,-1.8318181818181818,11.645454545454545,0.0,0.0,8.586363636363636,1024.290909090909,43.7,0,17,0,6
2023,12,-2.7545454545454544,-9.345454545454546,4.959090909090909,0.0,0.0,7.0590909090909095,1025.9227272727273,0.0,0,22,0,4
2024,1,-2.0592592592592593,-7.725925925925925,4.992592592592593,0.0,0.0,7.770370370370371,1027.611111111111,0.0,0,27,0,6
2024,2,0.192,-6.284,7.507999999999999,0.0,0.0,7.9079999999999995,1028.4360000000001,0.7999999999999998,0,25,0,7
2024,3,8.608333333333333,3.700743415417188e-17,16.654166666666665,0.0,0.0,9.950000000000001,1018.6208333333334,98.8,0,16,0,9
2024,4,16.92608695652174,9.656521739130435,24.782608695652176,0.0,0.0,8.726086956521739,1012.3782608695652,274.3,0,0,0,6
2024,5,22.432,14.636,30.035999999999998,0.0,0.0,10.176,1011.176,435.8,13,0,0,12
2024,6,27.766666666666666,20.479166666666668,34.916666666666664,0.0,0.0,9.375,1005.4458333333333,546.4,24,0,0,8
2024,7,28.45,22.6375,33.88125,0.0,0.0,7.39375,1002.2375,375.2,15,0,0,1
2024,8,27.37777777777778,22.25,32.849999999999994,0.0,0.0,7.383333333333334,1005.6277777777777,402.8,18,0,0,3
2024,9,21.454545454545453,17.12272727272727,27.4,0.0,0.0,6.872727272727272,1015.3227272727272,362.0,4,0,0,2
2024,10,13.457692307692307,7.723076923076923,21.35,0.0,0.0,6.403846153846154,1021.7153846153846,219.9,0,0,0,2
2024,11,8.269565217391303,2.026086956521739,16.139130434782608,0.0,0.0,7.78695652173913,1025.4,79.7,0,10,0,7
2024,12,-0.43333333333333335,-6.648148148148148,7.196296296296297,0.0,0.0,9.944444444444445,1027.6703703703704,1.5999999999999996,0,27,0,11
2025,1,-1.2518518518518518,-8.059259259259258,6.185185185185185,0.0,0.0,8.585185185185185,1026.8703703703704,0.0,0,27,0,8
2025,2,0.04615384615384613,-7.288461538461538,7.703846153846154,0.0,0.0,10.673076923076923,1026.7961538461539,7.1,0,26,0,12
2025,3,10.435714285714285,1.9928571428571427,17.964285714285715,0.0,0.0,11.160714285714286,1018.9857142857143,156.8,0,11,0,13
2025,4,17.088,8.072000000000001,25.74,0.0,0.0,11.12,1009.98,302.2,4,0,0,15
2025,5,21.773684210526316,13.836842105263157,28.842105263157894,0.0,0.0,9.515789473684212,1007.9473684210526,318.7,7,0,0,6
2025,6,27.204545454545453,19.599999999999998,34.61363636363637,0.0,0.0,8.936363636363636,1005.3863636363636,488.5,21,0,0,6
2025,7,28.9,23.633333333333333,34.473333333333336,0.0,0.0,7.0600000000000005,1004.6800000000001,358.5,15,0,0,1
2025,8,26.79,22.0,31.810000000000002,0.0,0.0,7.24,1006.6200000000001,217.9,8,0,0,1
2025,9,21.44782608695652,15.565217391304348,28.391304347826086,0.0,0.0,7.356521739130434,1013.4130434782609,378.3,10,0,0,2
2025,10,11.73,6.25,17.7,0.0,0.0,7.45,1024.05,134.6,0,5,0,3
2025,11,6.643478260869566,-0.4782608695652174,14.434782608695652,0.0,0.0,9.378260869565217,1021.2304347826087,56.1,0,13,0,8
2025,12,-1.373076923076923,-7.269230769230769,5.038461538461538,0.0,0.0,8.976923076923077,1025.3846153846155,0.0,0,26,0,9
2026,1,-3.773076923076923,-10.384615384615385,3.3076923076923075,0.0,0.0,7.984615384615385,1027.55,0.0,0,26,0,4
2026,2,1.3347826086956522,-6.269565217391304,9.308695652173913,0.0,0.0,7.326086956521739,1023.3000000000001,4.9,0,20,0,6
2026,3,8.808695652173913,1.2173913043478262,15.608695652173912,0.0,0.0,8.339130434782609,1022.1913043478262,98.1,0,14,0,9
2026,4,15.661538461538461,7.538461538461538,22.73846153846154,0.0,0.0,3.5461538461538464,1011.9961538461539,277.2,0,1,0,0
2026,5,19.3,10.0,25.1,0.0,0.0,6.8,1009.8,14.3,0,0,0,0
