common_name,dominant_season_days,dominant_season_years,dominant_season_records,total_observed_days,total_records,dominance_ratio,classification_confidence,primary_season,secondary_season,primary_season_days,secondary_season_days,secondary_to_primary_ratio,is_multi_season,dominant_season,seasonal_category
cuckoo sp. (Cuculidae sp.),17,6,19,40,51,0.425,Low,Autumn,Summer,17,14,0.8235294117647058,True,Autumn + Summer,秋候鸟 + 夏候鸟
Merlin,62,11,116,149,270,0.4161073825503356,Low,Autumn,Spring,62,53,0.8548387096774194,True,Autumn + Spring,秋候鸟 + 春候鸟
Dusky/Naumann's Thrush,157,11,298,386,633,0.4067357512953368,Low,Autumn,Winter,157,140,0.89171974522293,True,Autumn + Winter,秋候鸟 + 冬候鸟
Hen Harrier,357,11,1060,886,2231,0.40293453724604966,Low,Autumn,Spring,357,279,0.7815126050420168,True,Autumn + Spring,秋候鸟 + 春候鸟
rail/crake sp.,2,2,7,5,12,0.4,Low,Autumn,Spring,2,2,1.0,True,Autumn + Spring,秋候鸟 + 春候鸟
Gray-backed Thrush,42,8,76,109,165,0.3853211009174312,Low,Autumn,Winter,42,39,0.9285714285714286,True,Autumn + Winter,秋候鸟 + 冬候鸟
Southern Nutcracker,53,8,119,143,263,0.3706293706293706,Low,Autumn,Summer,53,40,0.7547169811320755,True,Autumn + Summer,秋候鸟 + 夏候鸟
Long-tailed Shrike,356,11,776,998,2018,0.35671342685370744,Low,Autumn,Winter,356,299,0.8398876404494382,True,Autumn + Winter,秋候鸟 + 冬候鸟
Reed Bunting,90,11,151,253,375,0.3557312252964427,Low,Autumn,Spring,90,83,0.9222222222222223,True,Autumn + Spring,秋候鸟 + 春候鸟
falcon sp.,25,4,40,72,109,0.3472222222222222,Low,Autumn,Spring,25,21,0.84,True,Autumn + Spring,秋候鸟 + 春候鸟
Dalmatian Pelican,32,2,162,61,269,0.5245901639344263,Medium,Winter,Spring,32,28,0.875,True,Winter + Spring,冬候鸟 + 春候鸟
Red Crossbill,50,8,94,105,198,0.47619047619047616,Low,Winter,Autumn,50,39,0.78,True,Winter + Autumn,冬候鸟 + 秋候鸟
Pine Bunting,194,12,362,416,825,0.46634615384615385,Low,Winter,Autumn,194,180,0.9278350515463918,True,Winter + Autumn,冬候鸟 + 秋候鸟
rosefinch sp.,5,4,11,11,22,0.45454545454545453,Low,Winter,Autumn,5,4,0.8,True,Winter + Autumn,冬候鸟 + 秋候鸟
Turdus sp.,36,5,55,80,128,0.45,Low,Winter,Autumn,36,28,0.7777777777777778,True,Winter + Autumn,冬候鸟 + 秋候鸟
Collared Crow,9,5,14,21,33,0.42857142857142855,Low,Winter,Spring,9,8,0.8888888888888888,True,Winter + Spring,冬候鸟 + 春候鸟
