year,month,common_name,species_records,total_records,species_proportion,year_month
2023,5,Alström's Warbler,8,18898,0.0004233252195999577,2023-05-01
2023,6,Alström's Warbler,21,8031,0.002614867388868136,2023-06-01
2024,4,Alström's Warbler,2,18363,0.00010891466535969068,2024-04-01
2024,5,Alström's Warbler,9,23813,0.00037794482005627176,2024-05-01
2024,6,Alström's Warbler,18,11494,0.0015660344527579607,2024-06-01
2024,7,Alström's Warbler,3,5937,0.0005053057099545225,2024-07-01
2025,4,Alström's Warbler,1,21104,4.7384382107657316e-05,2025-04-01
2025,5,Alström's Warbler,47,30604,0.0015357469611815449,2025-05-01
2025,6,Alström's Warbler,39,14495,0.0026905829596412557,2025-06-01
2025,7,Alström's Warbler,3,6365,0.0004713275726630008,2025-07-01
2025,9,Alström's Warbler,3,16756,0.00017904034375746002,2025-09-01
2015,4,Amur Falcon,1,699,0.001430615164520744,2015-04-01
2015,5,Amur Falcon,15,1669,0.008987417615338526,2015-05-01
2015,7,Amur Falcon,1,291,0.003436426116838488,2015-07-01
2015,8,Amur Falcon,10,599,0.01669449081803005,2015-08-01
2015,9,Amur Falcon,7,570,0.012280701754385965,2015-09-01
2015,10,Amur Falcon,4,870,0.004597701149425287,2015-10-01
2015,11,Amur Falcon,1,834,0.001199040767386091,2015-11-01
2016,5,Amur Falcon,3,840,0.0035714285714285713,2016-05-01
2016,6,Amur Falcon,1,761,0.001314060446780552,2016-06-01
2016,7,Amur Falcon,1,278,0.0035971223021582736,2016-07-01
2016,8,Amur Falcon,1,290,0.0034482758620689655,2016-08-01
2016,9,Amur Falcon,8,731,0.01094391244870041,2016-09-01
2016,10,Amur Falcon,7,2033,0.003443187407771766,2016-10-01
2017,3,Amur Falcon,1,1737,0.0005757052389176742,2017-03-01
2017,4,Amur Falcon,1,2218,0.0004508566275924256,2017-04-01
2017,5,Amur Falcon,19,3200,0.0059375,2017-05-01
2017,6,Amur Falcon,7,1272,0.00550314465408805,2017-06-01
2017,7,Amur Falcon,10,953,0.01049317943336831,2017-07-01
2017,8,Amur Falcon,2,487,0.004106776180698152,2017-08-01
2017,9,Amur Falcon,28,2072,0.013513513513513514,2017-09-01
2017,10,Amur Falcon,10,1840,0.005434782608695652,2017-10-01
2018,4,Amur Falcon,18,5773,0.003117962930885155,2018-04-01
2018,5,Amur Falcon,47,6810,0.006901615271659324,2018-05-01
2018,6,Amur Falcon,21,3311,0.006342494714587738,2018-06-01
2018,7,Amur Falcon,4,641,0.0062402496099844,2018-07-01
2018,8,Amur Falcon,17,1383,0.012292118582791034,2018-08-01
2018,9,Amur Falcon,55,5634,0.009762158324458644,2018-09-01
2018,10,Amur Falcon,11,5202,0.002114571318723568,2018-10-01
2019,4,Amur Falcon,3,5673,0.0005288207297726071,2019-04-01
2019,5,Amur Falcon,40,8255,0.004845548152634767,2019-05-01
2019,6,Amur Falcon,6,3659,0.001639792292976223,2019-06-01
2019,7,Amur Falcon,5,1312,0.0038109756097560975,2019-07-01
2019,8,Amur Falcon,29,3693,0.00785269428648795,2019-08-01
