common_name,season,month,month_name,n_years,intercept,temperature_beta,humidity_beta,prcp_beta,temperature_standardized_beta,humidity_standardized_beta,prcp_standardized_beta,r_squared,adjusted_r_squared,rmse
Eastern Buzzard,Spring,4,April,9,0.015876635965786454,-0.00019570117456746202,-9.944653974493315e-05,2.226151550555408e-05,-0.10869613415841255,-0.41978754120200035,0.23459718398754872,0.11431350862185641,-0.4170983862050297,0.0013443315485330814
Eastern Buzzard,Spring,5,May,9,0.013620756467463113,-0.0004578660327845572,-6.42112333888898e-05,1.1602486587126037e-05,-0.8500762930404943,-0.7305179013809883,0.4552725637379091,0.751659808018058,0.6026556928288928,0.00025423972680164834
Eastern Cattle-Egret,Spring,5,May,9,-0.0006874826178327275,0.0003879717858481697,-0.00014387605258506323,1.4812752154009492e-05,0.314236310964797,-0.7140771067866211,0.2535671010578256,0.581089581652152,0.3297433306434432,0.000756909127582879
Eastern Crowned Warbler,Spring,5,May,9,-0.001076780917686979,-4.041584603258495e-05,0.00010159714629119095,-6.390511351064041e-06,-0.04556316731818682,0.7018496919805308,-0.15226453763288147,0.40612393489402576,0.049798295830441264,0.0006474780716957983
Eastern Marsh Harrier,Spring,4,April,9,-0.005211558941139997,0.0006819100330741089,-4.024763212522131e-05,5.716418288719292e-05,0.40259052250055516,-0.18059095878519105,0.6403359256983057,0.4983621181379103,0.19737938902065655,0.0009518000925961246
Eastern Marsh Harrier,Spring,5,May,9,-0.0031804241208234184,0.00026498030362895043,-1.042755355302405e-05,3.290554668968313e-06,0.4138960707898859,-0.0998068872907726,0.10862949139370096,0.19192539148418153,-0.2929193736253095,0.0005451140872555812
Eastern Red-rumped Swallow,Spring,4,April,9,0.008601350624122725,-2.061920080980218e-05,-6.159891429949182e-05,6.030908053433794e-05,-0.011714750650866738,-0.26598275557046386,0.6501167116930879,0.24207722534134313,-0.21267643945385095,0.0012157332768886675
Eastern Red-rumped Swallow,Spring,5,May,9,0.01970712800508521,-0.0005008655295927095,5.250471510139297e-05,-4.964702460783591e-05,-0.27358807625752696,0.17574165030033032,-0.5731524764784736,0.282065405181965,-0.14869535170885606,0.0014692841854897134
Eastern Yellow Wagtail,Spring,4,April,9,-0.0023581202938354885,0.00010168247948346547,8.666762817431617e-05,-1.0746956745897161e-05,0.05961697184700239,0.38618899973203835,-0.11955195653982453,0.10930216139790894,-0.4251165417633458,0.0012771104558643993
Eastern Yellow Wagtail,Spring,5,May,9,0.03756631764189338,-0.0007157752593202982,-0.0003535135101891127,2.6426377516668744e-05,-0.3562714996275241,-1.0782284500263268,0.2779988242665115,0.7539352956666898,0.6062964730667038,0.0009439731639201415
Eurasian Crag-Martin,Spring,3,March,8,0.0006683415974492357,-2.831430818671742e-05,7.285902741238536e-06,-1.2511274497492009e-05,-0.13127057941746637,0.31684234822658736,-0.3891883508622876,0.18409556399754257,-0.4278327630043006,0.0001669269914592685
Eurasian Crag-Martin,Spring,4,April,8,5.479360450288543e-05,3.427076685915441e-05,-8.493672563461371e-06,8.426556403707747e-06,0.093457907394941,-0.1758814790846563,0.42167389251981235,0.12204062151122885,-0.5364289123553494,0.00028501264508032527
Eurasian Goshawk,Spring,3,March,9,0.000530385091497213,0.00010221413047047403,2.088744614789092e-06,2.5130027362706622e-05,0.161869074538764,0.031215128555297976,0.2978400951918548,0.12741134902253237,-0.39614184156394816,0.0004765134235080718
Eurasian Goshawk,Spring,4,April,9,0.0026893457394783302,-0.00013830639099536061,4.7247649547438355e-05,-1.8002562704771875e-05,-0.16793797752596082,0.4360196687460948,-0.4147519188664452,0.11767306322751803,-0.41172309883597125,0.0006137551449629702
Eurasian Nuthatch,Spring,3,March,9,-0.009416369881951275,0.0005933223792198743,0.00010427244806222828,3.43668168753012e-05,0.5476408036888198,0.9082417858813436,0.23740050235691365,0.9004696240848422,0.8407513985357475,0.00027611885073980635
Eurasian Nuthatch,Spring,4,April,8,0.0028671411847912523,-0.00021108347133450537,3.1516799361541946e-05,-9.892638803706126e-06,-0.45271176819939946,0.5148791397904156,-0.37493171805541475,0.29842424118390876,-0.22775757792815976,0.0003130620085837088
Eurasian Nuthatch,Spring,5,May,9,-0.0034521579859628435,0.00020269149244961084,-1.1467574477628112e-05,1.9983230280677727e-05,0.3431678825010638,-0.11897153255263258,0.7150521766730717,0.4697640242376453,0.15162243878023252,0.00040738296652082553
Eurasian Skylark,Spring,3,March,9,0.016748519221036467,-0.0009792255802471594,-9.588880858574602e-05,0.0001935847423002068,-0.5628101283609226,-0.5200845067655552,0.8326980246443323,0.5271001768896896,0.24336028302350332,0.0009665597940420127
Eurasian Skylark,Spring,4,April,9,0.01494059078480399,-0.0006847067770476571,-5.942353896241963e-05,4.914449957175817e-05,-0.4904054240787846,-0.32346578820473,0.667840815290986,0.4352423844485618,0.0963878151176989,0.0008324678229107013
Eurasian Spoonbill,Spring,4,April,9,0.01249881791155119,-0.0005994277877094098,1.877434382578372e-05,4.746928332114368e-05,-0.34310753261239124,0.081672782283297,0.5155294239751088,0.3692661213920829,-0.009174205772667365,0.0011008210989929602
Eurasian Spoonbill,Spring,5,May,9,0.017337587047433385,-6.333379683536691e-05,-0.0002796274562509325,1.0929683119674105e-05,-0.03740347240912484,-1.0119442384484938,0.13642215140077404,0.8473892958622482,0.7558228733795971,0.0006265496412648452
Eurasian Whimbrel,Spring,5,May,8,0.0007292753560693264,-4.779996779648486e-06,-1.6568248422290562e-06,-4.9259359649763174e-06,-0.026703725517719976,-0.06771063139394627,-0.7232588610518126,0.5828589216810713,0.27000311294187485,9.053857957563421e-05
Eurasian Wigeon,Spring,3,March,9,0.012124549906171017,-0.0007776277652597678,-2.994438572127588e-05,-1.348663802977777e-05,-0.41829659423056215,-0.15200393037460244,-0.0542942110429668,0.14915736443625394,-0.3613482169019937,0.0013852729589830266
Eurasian Wigeon,Spring,4,April,9,0.005287617720137866,-0.0003963775523780306,6.904904772285457e-05,5.821821041611725e-06,-0.4860538846016032,0.6435054995028134,0.13545081426431654,0.6090963198560237,0.37455411176963804,0.0004045261108915331
Eurasian Woodcock,Spring,4,April,9,-0.0003121452978858299,0.00010020669608904713,-1.5143875626449688e-05,5.5171999477590984e-06,0.15728421031489087,-0.18065276772506653,0.16430641059763615,0.03669092740424107,-0.5412945161532143,0.0004961140069942593
Eurasian Wryneck,Spring,5,May,9,-0.00264747864490082,0.00011155879373961127,1.3091341454394816e-05,-4.1114575560441416e-06,0.5408522080225506,0.3889191429591273,-0.4212806715735598,0.35534529418230965,-0.03144752930830452,0.00015686576317049724
European Starling,Spring,3,March,8,0.002651539868514209,-0.0002525487950819269,1.7091009128640013e-05,2.6613698391995068e-05,-0.29619317673828466,0.18801645562621846,0.20942658558090038,0.2544662600754941,-0.30468404486788536,0.0006307717996808787
European Starling,Spring,4,April,9,-0.008215277004348244,0.0006448127412098712,-2.6578033236475684e-05,-5.998735202041076e-06,0.4007613744289527,-0.12554351665902447,-0.07073906912457334,0.15758293513418942,-0.34786730378529684,0.0011716512962874983
Eyebrowed Thrush,Spring,5,May,9,0.020102269024591442,-0.0007034962511475704,-6.210578529079054e-05,-5.78312887847987e-06,-0.7103152237987369,-0.38425697990169944,-0.12341078975396098,0.49141470842854285,0.1862635334856686,0.0006690089814579032
